"nct_id","overall_status","start_date","completion_date","phases","sponsor_name","sponsor_class","enrollment_count","conditions","countries","source_system"
"NCT04258397","Unknown","2020-10-26","2024-12","Phase 2","Veterans Medical Research Foundation","Other","200","Chronic Kidney Disease","United States","ClinicalTrials.gov"
"NCT07395960","Recruiting","2025-09-01","2026-09-30","Phase 1|Phase 2","Fudan University","Other","54","Mild Cognitive Impairment|Overweight or Obesity|Elderly","China","ClinicalTrials.gov"
"NCT02640859","Completed","2015-09","2019-02-28","","Seoul National University Bundang Hospital","Other","1003","Cardiovascular Disease","South Korea","ClinicalTrials.gov"
"NCT01524159","Completed","2011-06","2011-12","Not applicable","Hebei Yiling Hospital","Other","72","Cardiovascular Disease.","China","ClinicalTrials.gov"
"NCT02668159","Completed","2015-08","2017-12","Not applicable","Laval University","Other","23","Prediabetes|Insulin Resistance","Canada","ClinicalTrials.gov"
"NCT00605280","Completed","2005-09","2011-07","Phase 2|Phase 3","Pfizer","Industry","317","Macular Edema Associated With Diabetes Mellitus","United States|Australia|Austria|Brazil|Canada|Colombia|Czechia|Denmark|France|Germany|Greece|India|Italy|Netherlands|Portugal|South Africa|Switzerland|United Kingdom","ClinicalTrials.gov"
"NCT06609980","Recruiting","2024-08-01","2028-09-01","Phase 1","Rutgers, The State University of New Jersey","Other","100","Antibiotic Treatment","United States","ClinicalTrials.gov"
"NCT00645879","Completed","2008-07","2010-02","Phase 1","Nicola Longo","Other","3","Propionic Acidemia","United States","ClinicalTrials.gov"
"NCT06539988","Recruiting","2026-04-01","2028-06-30","Not applicable","VA Office of Research and Development","Fed","600","Health Care Costs|Delivery of Health Care","United States","ClinicalTrials.gov"
"NCT05107388","Unknown","2021-12","2024-03","Not applicable","Centre Hospitalier Universitaire de Besancon","Other","40","Breast Cancer|Diabetes","France","ClinicalTrials.gov"
"NCT05604703","Completed","2021-04-01","2022-04-15","","Kutahya Health Sciences University","Other","300","Periodontal Diseases","Turkey (TÃ¼rkiye)","ClinicalTrials.gov"
"NCT01972542","Completed","2013-06","2015-08","Not applicable","Seoul National University Bundang Hospital","Other","80","Diabetes|Prediabetes","South Korea","ClinicalTrials.gov"
"NCT01891786","Completed","2013-07","2016-06","Not applicable","City, University of London","Other","211","Coronary Heart Disease|Type 2 Diabetes","United Kingdom","ClinicalTrials.gov"
"NCT03900286","Recruiting","2020-01-16","2025-05","Not applicable","Cambridge University Hospitals NHS Foundation Trust","Other","20","Lipodystrophy|Diabetes|Diet Modification","United Kingdom","ClinicalTrials.gov"
"NCT07255170","Active Not Recruiting","2025-08-15","2025-11-22","Not applicable","University Ngudi Waluyo","Other","100","Diabetes Mellitus","Indonesia","ClinicalTrials.gov"
"NCT04379973","Active Not Recruiting","2021-05-25","2027-06-01","Phase 4","Dafne Balemans","Other","736","Infertility, Female","Belgium","ClinicalTrials.gov"
